t_us,t_s,t_rel,ax,ay,az,gx,gy,gz
1229703190,1229.703190,2.252900,0.560,0.010,0.940,11.880,2.350,1.400
1229710188,1229.710188,2.259898,0.560,0.010,0.940,12.000,2.050,1.340
1229716218,1229.716218,2.265928,0.560,0.010,0.950,11.940,2.230,1.510
1229723205,1229.723205,2.272915,0.560,0.010,0.940,11.940,2.090,1.270
1229732171,1229.732171,2.281881,0.560,0.010,0.950,11.980,2.170,1.360
1229738165,1229.738165,2.287875,0.560,0.010,0.950,12.050,2.110,1.360
1229744179,1229.744179,2.293889,0.560,0.010,0.950,11.770,2.090,1.340
1229750169,1229.750169,2.299879,0.560,0.010,0.940,11.970,2.240,1.360
1229756171,1229.756171,2.305881,0.560,0.010,0.940,12.140,2.260,1.340
1229763189,1229.763189,2.312899,0.570,0.020,0.950,11.850,2.380,1.390
1229770197,1229.770197,2.319907,0.570,0.010,0.950,11.880,2.230,1.280
1229777663,1229.777663,2.327373,0.560,0.010,0.940,11.970,2.120,1.300
1229784162,1229.784162,2.333872,0.560,0.020,0.940,11.910,2.050,1.510
1229790158,1229.790158,2.339868,0.560,0.010,0.940,11.980,2.170,1.340
1229796278,1229.796278,2.345988,0.560,0.010,0.940,11.940,2.110,1.390
1229804064,1229.804064,2.353774,0.560,0.010,0.940,11.830,2.170,1.370
1229810282,1229.810282,2.359992,0.570,0.010,0.940,11.890,2.200,1.330
1229819180,1229.819180,2.368890,0.560,0.010,0.950,11.860,2.090,1.240
1229825140,1229.825140,2.374850,0.560,0.010,0.950,11.830,2.150,1.330
1229831613,1229.831613,2.381323,0.560,0.010,0.940,11.790,2.140,1.530
1229838498,1229.838498,2.388208,0.560,0.010,0.940,11.830,2.200,1.530
1229845258,1229.845258,2.394968,0.560,0.010,0.940,11.770,2.140,1.360
1229852105,1229.852105,2.401815,0.560,0.010,0.940,11.800,2.090,1.340
1229859174,1229.859174,2.408884,0.570,0.010,0.940,11.980,2.350,1.270
1229866255,1229.866255,2.415965,0.560,0.020,0.940,11.910,2.000,1.420
1229873199,1229.873199,2.422909,0.560,0.010,0.930,11.920,2.110,1.300
1229880361,1229.880361,2.430071,0.560,0.010,0.940,11.860,2.050,1.480
1229888154,1229.888154,2.437864,0.560,0.010,0.950,11.890,2.090,1.340
1229894549,1229.894549,2.444259,0.560,0.010,0.940,11.760,2.000,1.480
1229902194,1229.902194,2.451904,0.560,0.010,0.940,11.890,2.240,1.280
1229909157,1229.909157,2.458867,0.570,0.010,0.940,11.940,2.240,1.370
1229916568,1229.916568,2.466278,0.570,0.020,0.950,12.000,2.030,1.420
1229923139,1229.923139,2.472849,0.570,0.020,0.940,11.880,2.180,1.370
1229929659,1229.929659,2.479369,0.560,0.010,0.940,11.910,2.000,1.250
